mag,len,wid,TMP,SPFH,PRES,UGRD,VGRD,DLWRF,CAPE,PEVAP,APCP,DSWRF,yr
0.0,5.24,100,310.66,0.0119351,92031.67,-6.58,1.2,468.23,872.96,0.9969,0.0,647.069,2010
1.0,10.34,100,308.91,0.0119277,92180.44,-0.3,2.22,473.46,955.968,0.9478,0.0,820.429,2010
0.0,2.33,75,309.21,0.0103031,91899.22,-5.12,0.82,416.88,460.544,0.979,0.0,276.4,2010
0.0,2.61,150,309.21,0.0103031,91899.22,-5.12,0.82,416.88,460.544,0.979,0.0,276.4,2010
0.0,0.49,25,310.28,0.0106701,91879.54,-5.35,1.8,449.29,763.776,1.2353,0.0,831.463,2010
0.0,1.35,50,310.28,0.0106701,91879.54,-5.35,1.8,449.29,763.776,1.2353,0.0,831.463,2010
0.0,0.23,25,309.59,0.0111012,92018.41,-4.73,2.07,453.19,830.848,1.2353,0.0,924.217,2010
0.0,1.42,25,309.59,0.0111012,92018.41,-4.73,2.07,453.19,830.848,1.2353,0.0,924.217,2010
1.0,7.2,440,308.96,0.0106496,91988.44,-4.24,4.14,440.75,480.64,0.985,0.0,521.893,2010
2.0,9.0,1300,308.22,0.0099234,92011.35,-4.87,3.56,406.79,350.72,0.4092,0.0,132.616,2010
0.0,1.4,150,308.22,0.0099234,92011.35,-4.87,3.56,406.79,350.72,0.4092,0.0,132.616,2010
3.0,12.25,975,303.31,0.0093777,92294.66,-2.22,2.83,378.3,122.496,0.1251,0.0,0.0,2010
0.0,3.7,150,303.31,0.0093777,92294.66,-2.22,2.83,378.3,122.496,0.1251,0.0,0.0,2010
0.0,0.1,50,311.07,0.0093519,92346.62,-2.55,2.76,448.67,312.576,1.2921,0.0,948.676,2010
0.0,0.1,10,306.07,0.0084502,92090.86,-2.45,5.01,369.59,91.648,0.4815,0.0,0.0,2010
0.0,0.14,10,312.68,0.0071906,91903.73,-3.52,6.92,424.29,45.056,1.1139,0.0,531.783,2010
0.0,4.23,100,312.9,0.0071843,92076.26,-2.88,6.82,427.93,26.88,1.3571,0.0,943.748,2010
0.0,1.62,70,312.9,0.0071843,92076.26,-2.88,6.82,427.93,26.88,1.3571,0.0,943.748,2010
1.0,10.69,50,312.9,0.0071843,92076.26,-2.88,6.82,427.93,26.88,1.3571,0.0,943.748,2010
0.0,0.08,30,312.9,0.0071843,92076.26,-2.88,6.82,427.93,26.88,1.3571,0.0,943.748,2010
0.0,0.06,25,314.07,0.0055132,91867.46,0.19,4.05,398.8,11.648,0.8518,0.0,298.336,2010
0.0,0.11,25,314.07,0.0055132,91867.46,0.19,4.05,398.8,11.648,0.8518,0.0,298.336,2010
0.0,2.13,50,312.41,0.0066557,92036.69,2.03,5.54,441.47,0.0,1.0766,0.0,709.207,2010
2.0,6.98,800,312.61005,0.0099341,92305.64,-1.12,4.12,446.51,478.976,1.2967,0.0,961.025,2010
2.0,1.87,300,309.5,0.011782,92364.66,-0.54,4.55,413.44,806.144,0.9699,0.0,824.572,2010
1.0,6.51,150,313.59,0.0115535,92175.78,-2.26,4.82,467.76,1299.84,1.2767,0.0,933.635,2010
1.0,1.1,50,305.62,0.0018018,92101.1,3.93,-5.92,300.32,0.0,1.0722,0.0,302.432,2010
1.0,1.84,100,306.06,0.0017963,92089.5,4.52,-5.95,318.38,0.0,1.0722,0.0,507.643,2010
2.0,5.75,300,306.5,0.0017909,92077.9,5.12,-5.99,318.38,0.0,1.0722,0.0,713.719,2010
1.0,6.56,200,306.5,0.0017909,92077.9,5.12,-5.99,318.38,0.0,1.0722,0.0,713.719,2010
1.0,4.59,400,306.5,0.0017909,92077.9,5.12,-5.99,318.38,0.0,1.0722,0.0,713.719,2010
3.0,14.35,440,305.7,0.0065886,91221.7,2.38,2.97,353.93,33.664,0.2906,0.0,0.0,2010
4.0,16.62,880,312.38,0.006184,91304.48,2.74,0.55,417.11,51.072,0.9669,0.0,481.0,2010
2.0,14.0,100,312.38,0.006184,91304.48,2.74,0.55,417.11,51.072,0.9669,0.0,481.0,2010
1.0,1.5,60,312.38,0.006184,91304.48,2.74,0.55,417.11,51.072,0.9669,0.0,481.0,2010
1.0,0.06,50,312.38,0.006184,91304.48,2.74,0.55,417.11,51.072,0.9669,0.0,481.0,2010
0.0,0.96,25,312.8,0.0063877,91294.38,3.76,-0.72,417.11,22.4,1.2898,0.0,848.89,2010
1.0,16.0,440,311.99,0.0067656,91337.86,3.75,-0.52,424.43,20.736,1.2898,0.0,917.939,2010
0.0,0.4,100,311.99,0.0067656,91337.86,3.75,-0.52,424.43,20.736,1.2898,0.0,917.939,2010
1.0,2.0,100,310.14,0.0086768,91377.72,-3.15,2.98,427.57,136.64,0.96,0.0,473.783,2010
1.0,2.74,1320,310.31,0.0087766,91366.42,-2.97,2.95,427.57,167.36,0.96,0.0,667.139,2010
0.0,9.12,50,310.31,0.0087766,91366.42,-2.97,2.95,427.57,167.36,0.96,0.0,667.139,2010
0.0,6.33,50,310.31,0.0087766,91366.42,-2.97,2.95,427.57,167.36,0.96,0.0,667.139,2010
1.0,2.78,75,310.31,0.0087766,91366.42,-2.97,2.95,427.57,167.36,0.96,0.0,667.139,2010
